,0
0,4.55E-01
1,4.77E-01
2,4.88E-01
3,4.90E-01
4,4.90E-01
5,4.96E-01
6,4.99E-01
7,5.04E-01
8,5.04E-01
9,5.06E-01
10,5.06E-01
11,5.07E-01
12,5.07E-01
13,5.07E-01
14,5.08E-01
15,5.09E-01
16,5.10E-01
17,5.11E-01
18,5.12E-01
19,5.13E-01
20,5.14E-01
21,5.14E-01
22,5.14E-01
23,5.16E-01
24,5.17E-01
25,5.17E-01
26,5.18E-01
27,5.18E-01
28,5.18E-01
29,5.19E-01
30,5.19E-01
31,5.20E-01
32,5.20E-01
33,5.21E-01
34,5.24E-01
35,5.24E-01
36,5.25E-01
37,5.25E-01
38,5.26E-01
39,5.26E-01
40,5.28E-01
41,5.28E-01
42,5.28E-01
43,5.28E-01
44,5.29E-01
45,5.30E-01
46,5.30E-01
47,5.30E-01
48,5.31E-01
49,5.31E-01
50,5.31E-01
51,5.32E-01
52,5.32E-01
53,5.33E-01
54,5.33E-01
55,5.34E-01
56,5.34E-01
57,5.35E-01
58,5.36E-01
59,5.36E-01
60,5.37E-01
61,5.37E-01
62,5.38E-01
63,5.38E-01
64,5.38E-01
65,5.38E-01
66,5.38E-01
67,5.39E-01
68,5.39E-01
69,5.39E-01
70,5.39E-01
71,5.40E-01
72,5.40E-01
73,5.41E-01
74,5.41E-01
75,5.41E-01
76,5.42E-01
77,5.42E-01
78,5.42E-01
79,5.42E-01
80,5.43E-01
81,5.43E-01
82,5.44E-01
83,5.44E-01
84,5.44E-01
85,5.45E-01
86,5.45E-01
87,5.45E-01
88,5.46E-01
89,5.47E-01
90,5.47E-01
91,5.47E-01
92,5.47E-01
93,5.47E-01
94,5.47E-01
95,5.47E-01
96,5.48E-01
97,5.48E-01
98,5.49E-01
99,5.50E-01
100,4.55E-01
101,4.77E-01
102,4.88E-01
103,4.90E-01
104,4.90E-01
105,4.96E-01
106,4.99E-01
107,5.04E-01
108,5.04E-01
109,5.06E-01
110,5.06E-01
111,5.07E-01
112,5.07E-01
113,5.08E-01
114,5.10E-01
115,5.11E-01
116,5.12E-01
117,5.13E-01
118,5.14E-01
119,5.14E-01
120,5.16E-01
121,5.17E-01
122,5.17E-01
123,5.18E-01
124,5.18E-01
125,5.18E-01
126,5.19E-01
127,5.19E-01
128,5.20E-01
129,5.20E-01
130,5.21E-01
131,5.24E-01
132,5.24E-01
133,5.25E-01
134,5.25E-01
135,5.26E-01
136,5.26E-01
137,5.28E-01
138,5.28E-01
139,5.28E-01
140,5.28E-01
141,5.30E-01
142,5.30E-01
143,5.30E-01
144,5.31E-01
145,5.31E-01
146,5.31E-01
147,5.32E-01
148,5.32E-01
149,5.33E-01
150,5.34E-01
151,5.34E-01
152,5.35E-01
153,5.36E-01
154,5.36E-01
155,5.37E-01
156,5.37E-01
157,5.38E-01
158,5.38E-01
159,5.38E-01
160,5.38E-01
161,5.38E-01
162,5.39E-01
163,5.39E-01
164,5.39E-01
165,5.39E-01
166,5.40E-01
167,5.40E-01
168,5.41E-01
169,5.41E-01
170,5.41E-01
171,5.42E-01
172,5.42E-01
173,5.42E-01
174,5.42E-01
175,5.43E-01
176,5.43E-01
177,5.44E-01
178,5.44E-01
179,5.44E-01
180,5.45E-01
181,5.45E-01
182,5.46E-01
183,5.47E-01
184,5.47E-01
185,5.47E-01
186,5.47E-01
187,5.47E-01
188,5.47E-01
189,5.47E-01
190,5.48E-01
191,5.48E-01
192,5.49E-01
193,5.50E-01
194,5.50E-01
195,5.50E-01
196,5.50E-01
197,5.50E-01
198,5.51E-01
199,5.52E-01
200,4.55E-01
201,4.77E-01
202,4.88E-01
203,4.90E-01
204,4.90E-01
205,4.96E-01
206,4.99E-01
207,5.04E-01
208,5.04E-01
209,5.06E-01
210,5.06E-01
211,5.07E-01
212,5.07E-01
213,5.08E-01
214,5.10E-01
215,5.11E-01
216,5.12E-01
217,5.13E-01
218,5.14E-01
219,5.14E-01
220,5.17E-01
221,5.17E-01
222,5.18E-01
223,5.18E-01
224,5.18E-01
225,5.19E-01
226,5.19E-01
227,5.20E-01
228,5.20E-01
229,5.21E-01
230,5.24E-01
231,5.24E-01
232,5.25E-01
233,5.25E-01
234,5.26E-01
235,5.26E-01
236,5.28E-01
237,5.28E-01
238,5.28E-01
239,5.28E-01
240,5.30E-01
241,5.30E-01
242,5.30E-01
243,5.31E-01
244,5.31E-01
245,5.31E-01
246,5.32E-01
247,5.32E-01
248,5.33E-01
249,5.34E-01
250,5.35E-01
251,5.36E-01
252,5.36E-01
253,5.37E-01
254,5.37E-01
255,5.38E-01
256,5.38E-01
257,5.38E-01
258,5.38E-01
259,5.38E-01
260,5.39E-01
261,5.39E-01
262,5.39E-01
263,5.39E-01
264,5.40E-01
