all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YKL126W,4.7238E-08,6.03903E-08,5.80676E-08,6.38404E-08,5.92966E-08,6.55427E-08,7.33844E-08,1.06169E-07,9.37093E-08,8.23473E-08,1.10253E-07,4.33709E-08,8.14892E-08,1.03773E-07,1.54401E-07,8.80587E-08,1.36685E-07,1.1625E-07,6.77481E-08,7.76154E-08,3.48842E-08,7.62236E-08,4.53697E-08,7.56596E-08,9.19368E-08,1.36387E-07,1.25251E-07,8.19394E-08,7.84361E-08,7.63439E-08,7.1225E-08,7.47069E-08,7.13372E-08,9.97846E-08,7.86971E-08,8.01947E-08,7.81994E-08,6.72794E-08,7.52609E-08,4.02439E-08,4.40911E-08,4.1314E-08
YLR249W,5.51214E-06,9.55533E-06,8.27436E-06,8.00992E-06,9.71076E-06,1.01822E-05,9.20471E-06,1.83663E-05,1.71129E-05,1.714E-05,2.42231E-05,4.95932E-06,2.43525E-05,2.44515E-05,1.56621E-05,1.62073E-05,1.792E-05,1.29323E-05,7.72764E-06,9.48539E-06,5.31161E-06,9.55355E-06,5.88305E-06,9.88316E-06,9.68968E-06,1.32097E-05,1.04817E-05,1.18722E-05,9.98385E-06,1.06581E-05,7.95866E-06,9.65095E-06,8.51361E-06,8.45453E-06,1.17565E-05,1.21258E-05,1.11541E-05,9.26436E-06,8.35666E-06,5.91291E-06,6.42234E-06,5.95512E-06
YNL064C,1.32757E-06,8.91409E-07,7.5016E-07,7.57178E-07,6.11356E-07,6.3581E-07,7.42824E-07,9.9169E-07,9.67537E-07,8.91361E-07,1.07987E-06,1.28805E-06,9.85516E-07,1.15939E-06,1.51036E-06,1.82208E-06,1.96636E-06,2.16042E-06,1.26479E-06,1.59137E-06,6.0937E-07,1.09897E-06,1.59052E-06,1.09487E-06,1.02981E-06,1.318E-06,1.07222E-06,1.39065E-06,1.27609E-06,1.1898E-06,1.44762E-06,1.73959E-06,1.31682E-06,1.14942E-06,1.43509E-06,1.71644E-06,1.40964E-06,1.16815E-06,9.57216E-07,7.71897E-07,8.0751E-07,1.37026E-06
YMR106C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLL006W,1.79805E-08,1.78774E-08,1.56281E-08,1.64271E-08,1.7688E-08,1.79987E-08,1.94862E-08,2.40346E-08,1.98452E-08,1.98649E-08,2.20964E-08,1.76651E-08,1.81867E-08,2.23508E-08,4.44605E-08,4.8988E-08,3.94648E-08,3.72166E-08,1.93932E-08,2.3795E-08,1.02554E-08,2.09468E-08,1.97995E-08,2.52393E-08,3.17798E-08,3.45932E-08,3.43459E-08,3.00173E-08,2.58293E-08,2.79911E-08,2.26381E-08,3.755E-08,1.73213E-08,2.38226E-08,1.45988E-08,2.72739E-08,2.30225E-08,2.72909E-08,2.2456E-08,1.4384E-08,1.6474E-08,1.04869E-08
YCR030C,2.42444E-07,2.30165E-07,1.9995E-07,2.04627E-07,2.09022E-07,2.10656E-07,2.27191E-07,2.20106E-07,2.4513E-07,2.06162E-07,2.19704E-07,2.19933E-07,2.01939E-07,2.22449E-07,2.06793E-07,2.75408E-07,2.19033E-07,2.28174E-07,1.67969E-07,1.98477E-07,1.54961E-07,2.51339E-07,2.10561E-07,2.55761E-07,2.2612E-07,2.36435E-07,2.44834E-07,2.98772E-07,2.64685E-07,2.66275E-07,1.7209E-07,2.26698E-07,1.90961E-07,1.94984E-07,2.96813E-07,2.74626E-07,2.5893E-07,2.76006E-07,1.97687E-07,1.81144E-07,1.95795E-07,2.18584E-07
YPR024W,6.01526E-08,1.06529E-07,9.15771E-08,9.30657E-08,1.10341E-07,9.60991E-08,1.18241E-07,2.191E-07,2.10381E-07,1.87987E-07,2.93974E-07,5.95744E-08,2.36231E-07,2.49363E-07,1.25179E-07,1.97482E-07,1.64883E-07,1.73418E-07,1.00144E-07,1.25245E-07,8.47868E-08,1.29042E-07,6.38804E-08,1.17516E-07,1.54428E-07,2.10176E-07,1.90407E-07,1.34636E-07,1.43378E-07,1.3862E-07,8.49177E-08,1.15292E-07,1.05736E-07,1.03286E-07,1.9455E-07,1.75353E-07,1.48882E-07,1.19466E-07,1.06713E-07,6.37023E-08,6.79624E-08,1.16184E-07
YOR087W,2.39131E-08,2.77178E-08,2.27325E-08,2.27698E-08,2.30215E-08,2.15481E-08,2.37302E-08,2.65539E-08,2.96462E-08,4.03202E-08,3.40666E-08,1.94092E-08,5.0149E-08,3.80483E-08,4.79924E-08,4.04144E-08,3.72944E-08,3.36797E-08,2.22625E-08,2.23245E-08,1.879E-08,3.19394E-08,1.95225E-08,3.27663E-08,3.79652E-08,3.86053E-08,3.12988E-08,4.07307E-08,3.51787E-08,4.42156E-08,2.67142E-08,3.14068E-08,2.45437E-08,2.61886E-08,4.09069E-08,4.099E-08,4.42609E-08,2.15954E-08,1.92524E-08,2.05562E-08,2.02334E-08,1.82838E-08
YLR277C,1.09322E-09,1.30947E-09,9.97343E-10,1.17823E-09,1.31348E-09,1.19193E-09,1.35734E-09,2.01062E-09,1.82119E-09,2.13709E-09,2.19308E-09,9.59779E-10,2.28628E-09,2.48955E-09,6.63247E-10,2.41996E-10,1.17851E-09,1.11547E-09,8.645E-10,8.97891E-10,6.13047E-10,8.94408E-10,9.16005E-10,9.63107E-10,1.43802E-09,1.32857E-09,1.61644E-09,1.13672E-09,8.19868E-10,1.0023E-09,1.00928E-09,7.14264E-10,1.23787E-09,1.31375E-09,1.16258E-09,8.1303E-10,1.03938E-09,1.26579E-09,1.52903E-09,9.92378E-10,9.25512E-10,8.04359E-10
YPR107C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YER005W,3.55561E-09,5.11556E-09,3.53997E-09,4.43048E-09,4.797E-09,5.08976E-09,5.16892E-09,6.83229E-09,7.78355E-09,8.41222E-09,8.70059E-09,3.53252E-09,1.05442E-08,8.23715E-09,7.19356E-09,1.08838E-08,7.84239E-09,7.93703E-09,4.88803E-09,6.4882E-09,2.70354E-09,4.73249E-09,3.21561E-09,6.48807E-09,6.29864E-09,7.96214E-09,6.80928E-09,6.67561E-09,6.465E-09,7.38087E-09,5.27687E-09,8.07255E-09,5.99281E-09,5.12591E-09,5.47908E-09,7.55153E-09,6.40523E-09,5.91626E-09,5.71814E-09,2.95462E-09,3.34936E-09,3.17052E-09
