all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YKL126W,4.7238e-08,6.03903e-08,5.80676e-08,6.38404e-08,5.92966e-08,6.55427e-08,7.33844e-08,1.06169e-07,9.37093e-08,8.23473e-08,1.10253e-07,4.33709e-08,8.14892e-08,1.03773e-07,1.54401e-07,8.80587e-08,1.36685e-07,1.1625e-07,6.77481e-08,7.76154e-08,3.48842e-08,7.62236e-08,4.53697e-08,7.56596e-08,9.19368e-08,1.36387e-07,1.25251e-07,8.19394e-08,7.84361e-08,7.63439e-08,7.1225e-08,7.47069e-08,7.13372e-08,9.97846e-08,7.86971e-08,8.01947e-08,7.81994e-08,6.72794e-08,7.52609e-08,4.02439e-08,4.40911e-08,4.1314e-08
YLR249W,5.51214e-06,9.55533e-06,8.27436e-06,8.00992e-06,9.71076e-06,1.01822e-05,9.20471e-06,1.83663e-05,1.71129e-05,1.714e-05,2.42231e-05,4.95932e-06,2.43525e-05,2.44515e-05,1.56621e-05,1.62073e-05,1.792e-05,1.29323e-05,7.72764e-06,9.48539e-06,5.31161e-06,9.55355e-06,5.88305e-06,9.88316e-06,9.68968e-06,1.32097e-05,1.04817e-05,1.18722e-05,9.98385e-06,1.06581e-05,7.95866e-06,9.65095e-06,8.51361e-06,8.45453e-06,1.17565e-05,1.21258e-05,1.11541e-05,9.26436e-06,8.35666e-06,5.91291e-06,6.42234e-06,5.95512e-06
YNL064C,1.32757e-06,8.91409e-07,7.5016e-07,7.57178e-07,6.11356e-07,6.3581e-07,7.42824e-07,9.9169e-07,9.67537e-07,8.91361e-07,1.07987e-06,1.28805e-06,9.85516e-07,1.15939e-06,1.51036e-06,1.82208e-06,1.96636e-06,2.16042e-06,1.26479e-06,1.59137e-06,6.0937e-07,1.09897e-06,1.59052e-06,1.09487e-06,1.02981e-06,1.318e-06,1.07222e-06,1.39065e-06,1.27609e-06,1.1898e-06,1.44762e-06,1.73959e-06,1.31682e-06,1.14942e-06,1.43509e-06,1.71644e-06,1.40964e-06,1.16815e-06,9.57216e-07,7.71897e-07,8.0751e-07,1.37026e-06
YLL006W,1.79805e-08,1.78774e-08,1.56281e-08,1.64271e-08,1.7688e-08,1.79987e-08,1.94862e-08,2.40346e-08,1.98452e-08,1.98649e-08,2.20964e-08,1.76651e-08,1.81867e-08,2.23508e-08,4.44605e-08,4.8988e-08,3.94648e-08,3.72166e-08,1.93932e-08,2.3795e-08,1.02554e-08,2.09468e-08,1.97995e-08,2.52393e-08,3.17798e-08,3.45932e-08,3.43459e-08,3.00173e-08,2.58293e-08,2.79911e-08,2.26381e-08,3.755e-08,1.73213e-08,2.38226e-08,1.45988e-08,2.72739e-08,2.30225e-08,2.72909e-08,2.2456e-08,1.4384e-08,1.6474e-08,1.04869e-08
YCR030C,2.42444e-07,2.30165e-07,1.9995e-07,2.04627e-07,2.09022e-07,2.10656e-07,2.27191e-07,2.20106e-07,2.4513e-07,2.06162e-07,2.19704e-07,2.19933e-07,2.01939e-07,2.22449e-07,2.06793e-07,2.75408e-07,2.19033e-07,2.28174e-07,1.67969e-07,1.98477e-07,1.54961e-07,2.51339e-07,2.10561e-07,2.55761e-07,2.2612e-07,2.36435e-07,2.44834e-07,2.98772e-07,2.64685e-07,2.66275e-07,1.7209e-07,2.26698e-07,1.90961e-07,1.94984e-07,2.96813e-07,2.74626e-07,2.5893e-07,2.76006e-07,1.97687e-07,1.81144e-07,1.95795e-07,2.18584e-07
YPR024W,6.01526e-08,1.06529e-07,9.15771e-08,9.30657e-08,1.10341e-07,9.60991e-08,1.18241e-07,2.191e-07,2.10381e-07,1.87987e-07,2.93974e-07,5.95744e-08,2.36231e-07,2.49363e-07,1.25179e-07,1.97482e-07,1.64883e-07,1.73418e-07,1.00144e-07,1.25245e-07,8.47868e-08,1.29042e-07,6.38804e-08,1.17516e-07,1.54428e-07,2.10176e-07,1.90407e-07,1.34636e-07,1.43378e-07,1.3862e-07,8.49177e-08,1.15292e-07,1.05736e-07,1.03286e-07,1.9455e-07,1.75353e-07,1.48882e-07,1.19466e-07,1.06713e-07,6.37023e-08,6.79624e-08,1.16184e-07
YOR087W,2.39131e-08,2.77178e-08,2.27325e-08,2.27698e-08,2.30215e-08,2.15481e-08,2.37302e-08,2.65539e-08,2.96462e-08,4.03202e-08,3.40666e-08,1.94092e-08,5.0149e-08,3.80483e-08,4.79924e-08,4.04144e-08,3.72944e-08,3.36797e-08,2.22625e-08,2.23245e-08,1.879e-08,3.19394e-08,1.95225e-08,3.27663e-08,3.79652e-08,3.86053e-08,3.12988e-08,4.07307e-08,3.51787e-08,4.42156e-08,2.67142e-08,3.14068e-08,2.45437e-08,2.61886e-08,4.09069e-08,4.099e-08,4.42609e-08,2.15954e-08,1.92524e-08,2.05562e-08,2.02334e-08,1.82838e-08
YLR277C,1.09322e-09,1.30947e-09,9.97343e-10,1.17823e-09,1.31348e-09,1.19193e-09,1.35734e-09,2.01062e-09,1.82119e-09,2.13709e-09,2.19308e-09,9.59779e-10,2.28628e-09,2.48955e-09,6.63247e-10,2.41996e-10,1.17851e-09,1.11547e-09,8.645e-10,8.97891e-10,6.13047e-10,8.94408e-10,9.16005e-10,9.63107e-10,1.43802e-09,1.32857e-09,1.61644e-09,1.13672e-09,8.19868e-10,1.0023e-09,1.00928e-09,7.14264e-10,1.23787e-09,1.31375e-09,1.16258e-09,8.1303e-10,1.03938e-09,1.26579e-09,1.52903e-09,9.92378e-10,9.25512e-10,8.04359e-10
YER005W,3.55561e-09,5.11556e-09,3.53997e-09,4.43048e-09,4.797e-09,5.08976e-09,5.16892e-09,6.83229e-09,7.78355e-09,8.41222e-09,8.70059e-09,3.53252e-09,1.05442e-08,8.23715e-09,7.19356e-09,1.08838e-08,7.84239e-09,7.93703e-09,4.88803e-09,6.4882e-09,2.70354e-09,4.73249e-09,3.21561e-09,6.48807e-09,6.29864e-09,7.96214e-09,6.80928e-09,6.67561e-09,6.465e-09,7.38087e-09,5.27687e-09,8.07255e-09,5.99281e-09,5.12591e-09,5.47908e-09,7.55153e-09,6.40523e-09,5.91626e-09,5.71814e-09,2.95462e-09,3.34936e-09,3.17052e-09
YDR135C,5.54592e-08,6.67528e-08,5.84656e-08,6.02647e-08,7.47111e-08,7.05165e-08,7.46803e-08,1.17444e-07,1.235e-07,1.25933e-07,1.41914e-07,5.25962e-08,1.39899e-07,1.49507e-07,8.45422e-08,1.14403e-07,1.13558e-07,1.05546e-07,6.04811e-08,6.89292e-08,4.14971e-08,7.80288e-08,5.32552e-08,8.02978e-08,6.54742e-08,8.17976e-08,7.23302e-08,9.39548e-08,8.75713e-08,9.30587e-08,6.50021e-08,9.06718e-08,6.89845e-08,5.24248e-08,8.53053e-08,8.66205e-08,8.61126e-08,6.30563e-08,6.26118e-08,4.8838e-08,5.23902e-08,5.33618e-08
