error,corr,pvalue,number,error_num,RMSE
2.533063126127117,0.4235291024764708,1.6648858033055636e-10,209.0,13.0,0.0
2.499202885894443,0.4141142991257407,5.039971808094661e-10,208.0,13.0,0.0
2.5427722354097937,0.4119538512850144,2.6822564358782025e-10,217.0,15.0,0.0
2.6850934736236955,0.4081054151071142,7.124110126305362e-10,211.0,18.0,0.0
2.699031145606359,0.4079560169099797,5.469871018687776e-10,214.0,16.0,0.0
2.710568140958062,0.4000204391870314,1.6419446634629704e-09,211.0,16.0,0.0
2.6485676900926998,0.3998011407613808,1.0741538085847081e-09,216.0,19.0,0.0
2.6681909614147936,0.394957294463306,2.301042191911349e-09,213.0,16.0,0.0
2.643303391503206,0.3936873498884751,2.851914521541986e-09,212.0,15.0,0.0
2.6533683912051083,0.39233212713062,2.997257494734413e-09,213.0,19.0,0.0
2.678185378714139,0.3917660275935115,2.911986414054467e-09,214.0,17.0,0.0
2.5489139537984005,0.3916506043220935,4.147602852800942e-09,210.0,18.0,0.0
2.6601625569428453,0.3913197327576296,3.9344150828516e-09,211.0,13.0,0.0
2.7256210401662,0.3901193083566228,4.069547883516654e-09,212.0,18.0,0.0
2.660725777613609,0.3900757746975593,3.754867075829218e-09,213.0,18.0,0.0
2.7048763930348,0.3882946001367053,6.269560730206381e-09,209.0,14.0,0.0
2.706703102121738,0.3869464361552847,5.1181730301599014e-09,213.0,18.0,0.0
2.639234449900629,0.3863108544857628,6.4331107116505454e-09,211.0,20.0,0.0
2.619454589758788,0.385938780600791,7.246903525144479e-09,210.0,15.0,0.0
2.5437974149753946,0.3856146446775079,6.883665762422631e-09,211.0,13.0,0.0
2.5640893714223414,0.3855440735890897,3.884940755335113e-09,218.0,12.0,0.0
2.7297834842804383,0.3840542816056983,6.7950357114367294e-09,213.0,21.0,0.0
2.6666348077225277,0.3835940619123846,7.712737912261317e-09,212.0,16.0,0.0
2.607455215491845,0.3835835217414165,9.869580141646251e-09,209.0,17.0,0.0
2.787806889537201,0.3831981804975052,5.781328152268756e-09,216.0,17.0,0.0
2.651216210464106,0.3830248698669751,1.0410245546897057e-08,209.0,20.0,0.0
2.7273836131844096,0.3829421641124567,5.9290334137702084e-09,216.0,13.0,0.0
2.6869669063577204,0.3820416192945925,9.719000106556802e-09,211.0,15.0,0.0
2.5989429395268835,0.3809068505864844,1.3801279316786034e-08,208.0,14.0,0.0
2.6073558834351216,0.3805238413375686,9.567968700222043e-09,213.0,20.0,0.0
2.590751553639354,0.380505550822338,1.2201738160670584e-08,210.0,15.0,0.0
2.6544108583937303,0.3795812521556955,1.2295140710553282e-08,211.0,21.0,0.0
2.695500359909149,0.3792703965633462,6.6840708829693735e-09,219.0,16.0,0.0
2.5610824976738185,0.3791663647999227,9.292828833398187e-09,215.0,13.0,0.0
2.665993960761444,0.3785709426517608,1.4655363719275042e-08,210.0,11.0,0.0
2.835509681176907,0.3781967688183728,1.0205794053574e-08,215.0,22.0,0.0
2.660455406611488,0.3779668082716094,1.3238007988215484e-08,212.0,16.0,0.0
2.6653610178067244,0.3778828804022118,1.5637718052440392e-08,210.0,12.0,0.0
2.634281293665841,0.376977257656324,1.3438754272549924e-08,213.0,23.0,0.0
2.6455806735004863,0.3769547954976107,1.2446120719595248e-08,214.0,18.0,0.0
2.6668276355656597,0.3768166044481834,1.8704867968522253e-08,209.0,17.0,0.0
2.664271815426316,0.3761193159546863,1.8454191714496632e-08,210.0,14.0,0.0
2.7704454681109163,0.3761111332196613,1.3490555678143028e-08,214.0,13.0,0.0
2.8013066669480304,0.3759403420433177,1.6040846142909005e-08,212.0,19.0,0.0
2.700558654320587,0.3757486990795318,1.1939845176913578e-08,216.0,17.0,0.0
2.645375106274237,0.3754881969992178,1.6740126824310538e-08,212.0,16.0,0.0
2.6322249258883184,0.3753455311307095,1.5690925907892996e-08,213.0,14.0,0.0
2.7225346051523767,0.3749438527856263,1.3945010024873516e-08,215.0,15.0,0.0
2.7621572206830023,0.3748532927624429,1.406603900114233e-08,215.0,20.0,0.0
2.634725052748222,0.3748470254595623,1.9224294961806433e-08,211.0,16.0,0.0
2.6215045354235387,0.3746317662750176,1.814607025243579e-08,212.0,17.0,0.0
2.7663084591228264,0.3733609656198438,1.751533251999626e-08,214.0,14.0,0.0
2.7839882329487478,0.3732504554710105,1.5165776999809156e-08,216.0,18.0,0.0
2.668687867964813,0.3730975435141062,2.4453278674779596e-08,210.0,17.0,0.0
2.785181324917324,0.3729809227938437,2.4718940081646004e-08,210.0,14.0,0.0
2.7588027495794982,0.3723650987695226,1.3102784777507636e-08,219.0,19.0,0.0
2.679110128731054,0.3723061790217294,2.4364572347026837e-08,211.0,14.0,0.0
2.661180234784046,0.3722197562685392,1.9505674095087844e-08,214.0,20.0,0.0
2.7192209251690853,0.3720549173607324,2.3096861519754283e-08,212.0,19.0,0.0
2.6375376879401786,0.3718105827129458,2.362869926159301e-08,212.0,16.0,0.0
2.660954805283725,0.371099362967634,2.167081771493753e-08,214.0,20.0,0.0
2.736165439020032,0.3710593886128179,2.7348452737240503e-08,211.0,17.0,0.0
2.620484735668726,0.3708882104214305,2.778464488162724e-08,211.0,19.0,0.0
2.690192720108814,0.3704713951073438,2.130086429304512e-08,215.0,13.0,0.0
2.6459067821976245,0.3704377746403305,2.6843398745603497e-08,212.0,17.0,0.0
2.661225330660405,0.3699045745455475,3.0424008257126305e-08,211.0,16.0,0.0
2.6794037058937747,0.3698138756530958,3.0679188056910284e-08,211.0,21.0,0.0
2.742753093033114,0.3697831389311502,2.272281613250329e-08,215.0,18.0,0.0
2.6100387019944287,0.369456385470354,3.4196638736149435e-08,210.0,13.0,0.0
2.68438842212288,0.3691137069981781,2.243516817265488e-08,216.0,14.0,0.0
2.644831210299152,0.369004166725386,2.102120369540276e-08,217.0,18.0,0.0
2.655372021896302,0.3688064414609037,4.219588439768874e-08,208.0,16.0,0.0
2.6555526845556794,0.368524318189156,2.9713367808884093e-08,213.0,17.0,0.0
2.7173037297761464,0.3683381223416145,3.7875104444688056e-08,210.0,13.0,0.0
2.648479011792585,0.368269748982344,3.0421253807278656e-08,213.0,18.0,0.0
2.713907297611581,0.3681706140820919,2.4511336863562664e-08,216.0,18.0,0.0
2.680959674040623,0.3678077229587771,2.7330625157052843e-08,215.0,17.0,0.0
2.666057366329708,0.3678063880681018,4.978060208885143e-08,207.0,16.0,0.0
2.752106866703398,0.3675216423153407,2.6046271862801873e-08,216.0,22.0,0.0
2.593240869749105,0.3673602713076397,4.4615286660490985e-08,209.0,16.0,0.0
2.712213441511095,0.3673598957601461,3.842073263778518e-08,211.0,15.0,0.0
2.7598088019599003,0.3673382510928937,3.57246722327866e-08,212.0,15.0,0.0
2.7614865756221354,0.3672440213490429,3.3441647366130375e-08,213.0,15.0,0.0
2.673119980907316,0.3672100268057668,2.8893861614773667e-08,215.0,19.0,0.0
2.7235323619951144,0.3672055370694062,3.114618849973595e-08,214.0,15.0,0.0
2.581273839294925,0.3667751800335405,2.5922964953698577e-08,217.0,17.0,0.0
2.6359612969703567,0.3666802436910299,3.5222684973943036e-08,213.0,18.0,0.0
2.7461033668470347,0.3666649507356196,5.9404134906614916e-08,206.0,17.0,0.0
2.712891584213277,0.3664827576487832,2.6642523534143072e-08,217.0,19.0,0.0
2.638846400759713,0.3660324914057262,3.4709963539012264e-08,214.0,15.0,0.0
2.719699721234231,0.36588827429389,4.393169448112786e-08,211.0,15.0,0.0
2.833842929705017,0.3658696364231903,3.5234749266038874e-08,214.0,18.0,0.0
2.5684445729011607,0.3658004541601752,4.11216178379268e-08,212.0,16.0,0.0
2.740750164583726,0.3657815623059648,4.1192565540346564e-08,212.0,19.0,0.0
2.748871683660639,0.3656097375930187,2.684681305744093e-08,218.0,21.0,0.0
2.689784208805774,0.3653313064472861,4.620975427869452e-08,211.0,17.0,0.0
2.7199904149570044,0.3652010249665525,5.034196930615872e-08,210.0,16.0,0.0
2.719924886193397,0.3648019147644054,3.3547562298343106e-08,216.0,20.0,0.0
2.5887199677994484,0.3647164010845726,5.258997454504737e-08,210.0,16.0,0.0
2.749422378413647,0.3645729189306672,3.9694779876317104e-08,214.0,21.0,0.0
2.7627926743946505,0.3644856350838645,4.98873497907694e-08,211.0,16.0,0.0
2.765937302822956,0.3643543504014742,4.3584722658565536e-08,213.0,21.0,0.0
2.56070112020982,0.3643369651873505,4.6981064414717717e-08,212.0,16.0,0.0
2.690988720489016,0.3637790399980947,3.6875352972725e-08,216.0,20.0,0.0
2.769595984877093,0.3636753798163902,4.309503850793257e-08,214.0,15.0,0.0
2.716422237384708,0.3635067591554295,2.8232325399394132e-08,220.0,19.0,0.0
2.7674614047992745,0.3634185805018233,4.101060004777629e-08,215.0,19.0,0.0
2.701615487120704,0.3632437980617916,3.6015490087364936e-08,217.0,21.0,0.0
2.7468524127926965,0.3631598764506185,4.5172973113152555e-08,214.0,14.0,0.0
2.744388566417949,0.3631121219820553,4.5370273719552384e-08,214.0,19.0,0.0
2.670840557020911,0.363090196974476,4.889994859669017e-08,213.0,15.0,0.0
2.8178447825532467,0.3630787676969444,5.2653790941919155e-08,212.0,20.0,0.0
2.732776145273212,0.3630562402505388,3.9416214358713095e-08,216.0,16.0,0.0
2.7305253505640388,0.3629628976577879,5.3208146938539415e-08,212.0,17.0,0.0
2.688676496027494,0.3624455487282993,5.995487229259076e-08,211.0,17.0,0.0
2.696126302321945,0.3623004115328542,5.2531586425256535e-08,213.0,18.0,0.0
2.737316280428087,0.362168052872768,4.9445377495022295e-08,214.0,15.0,0.0
2.7949707858305293,0.3620952857261934,4.3056425894033606e-08,216.0,20.0,0.0
2.7035299886673414,0.3620809964395861,4.3112924048578537e-08,216.0,18.0,0.0
2.681194811215448,0.3620578502530068,4.994341792727891e-08,214.0,21.0,0.0
2.78732730342834,0.3619837522756003,5.405938768404395e-08,213.0,17.0,0.0
2.7947960252314408,0.3619607282773073,4.359128680047658e-08,216.0,19.0,0.0
2.6967474057728364,0.3618154044895322,5.1056156951785195e-08,214.0,16.0,0.0
2.6616881126097405,0.3618047368985103,4.4219353502452894e-08,216.0,18.0,0.0
2.721676586213651,0.3617122928935501,6.40299265983071e-08,211.0,15.0,0.0
2.770527929213988,0.3615998971442215,5.206525486756009e-08,214.0,17.0,0.0
2.7567400504036823,0.3615832147202375,4.198048715453884e-08,217.0,18.0,0.0
2.888106163880222,0.3613331044111787,7.120098893455425e-08,210.0,17.0,0.0
2.6819905420984904,0.3613055132942114,4.9751777844023816e-08,215.0,19.0,0.0
2.853315778881244,0.3607642357642358,8.048699191306944e-08,209.0,17.0,0.0
2.680020810131692,0.3607311399470776,6.5048171523654e-08,212.0,16.0,0.0
2.647788866055063,0.3606435832994051,5.6779372527288447e-08,214.0,20.0,0.0
2.7329440147931208,0.3599040012734524,6.070404709496131e-08,214.0,15.0,0.0
2.80270849828341,0.3595249862780988,6.746651342962358e-08,213.0,17.0,0.0
2.739171853697414,0.3595246858404753,8.979208798493826e-08,209.0,17.0,0.0
2.849473963885373,0.359486455791913,6.303372095926662e-08,214.0,16.0,0.0
2.6779632559279016,0.359451075240549,9.03760272580563e-08,209.0,18.0,0.0
2.687566562237361,0.359448497111773,6.324972308528526e-08,214.0,17.0,0.0
2.6351860737028696,0.3594424781634575,1.0433942939188927e-07,207.0,17.0,0.0
2.5836011242826085,0.3594368184064712,6.800227416843294e-08,213.0,16.0,0.0
2.807106469784799,0.3590992124360629,3.692286229220194e-08,222.0,19.0,0.0
2.703485117884939,0.359075321789949,6.091379593347169e-08,215.0,17.0,0.0
2.805381585388769,0.3590143202054139,8.144177816779729e-08,211.0,18.0,0.0
2.6386656692223727,0.3588595614911404,9.52027337786024e-08,209.0,16.0,0.0
2.711196061218052,0.358849241580819,5.392700068049115e-08,217.0,15.0,0.0
2.7362784533198106,0.3586213142070564,6.346421569131118e-08,215.0,12.0,0.0
2.828698383312584,0.3585902070745136,8.456311868997678e-08,211.0,20.0,0.0
2.7191666246518102,0.3585132362627882,7.930341269068483e-08,212.0,27.0,0.0
2.6206296429235376,0.3581880616506245,5.727371568961991e-08,217.0,18.0,0.0
2.8051837414500285,0.3581671941229564,4.9803213376486826e-08,219.0,18.0,0.0
2.7613655962285266,0.3580853357169147,1.0189575617737713e-07,209.0,20.0,0.0
2.781243344272613,0.3579514824797844,8.948189406956232e-08,211.0,23.0,0.0
2.763568488793952,0.357933531001798,6.29117380521419e-08,216.0,18.0,0.0
2.8021057877135034,0.3578970891202463,7.271341737440049e-08,214.0,15.0,0.0
2.7487347060035736,0.3578848443847173,7.27932685960574e-08,214.0,19.0,0.0
2.8104243045816992,0.3578808417423957,7.815848710309628e-08,213.0,21.0,0.0
2.7262281284320498,0.3575003596891061,7.53439333255778e-08,214.0,18.0,0.0
2.629454286781449,0.3573607186843439,7.109575127988409e-08,215.0,19.0,0.0
2.836543516397652,0.3573583142420651,8.787092841935084e-08,212.0,20.0,0.0
2.7168273083658128,0.3572661129869367,1.174719013815257e-07,208.0,13.0,0.0
2.782889199402086,0.357209284500709,9.55431443430532e-08,211.0,19.0,0.0
2.828161748685352,0.3571580826257803,1.0298498424782696e-07,210.0,19.0,0.0
2.829775796781815,0.3571026444817524,8.988439154277232e-08,212.0,19.0,0.0
2.700460635554712,0.3569378591748832,5.5738303664862094e-08,219.0,16.0,0.0
2.7503371716889826,0.3566933209738624,9.320055196314539e-08,212.0,19.0,0.0
2.736354982220258,0.3566303481264948,9.37210542122064e-08,212.0,20.0,0.0
2.666925609104132,0.3565955776982473,8.763305195819067e-08,213.0,12.0,0.0
2.756250937079772,0.3565539530665168,1.0122135225337885e-07,211.0,16.0,0.0
2.756947060904233,0.3565348096652661,1.0876926565560058e-07,210.0,18.0,0.0
2.8443999237295112,0.3564338432245286,8.287701385839338e-08,214.0,23.0,0.0
2.701651907643001,0.3562661023187339,1.1944866077558544e-07,209.0,17.0,0.0
