Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YDL174C,0.332960488,0.10560936,9.98E-06,1.51E-05
YEL039C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR048W,0.305311364,0.105165516,2.87E-06,4.39E-06
YEL071W,0.264381436,0.044707088,2.31E-06,3.65E-06
YDL178W,0.301241356,0.076672766,9.98E-06,1.51E-05
YAL060W,0.224422689,0.105602184,2.08E-06,3.94E-06
YML054C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR032W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR306W,0.310040533,0.102051249,9.98E-06,1.51E-05
YCR034W,0.346734846,0.020360782,9.98E-06,1.51E-05
YLR342W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR143W,0.310040533,0.102051249,9.98E-06,1.51E-05
YPR159W,0.493447361,0.249744249,9.98E-06,1.51E-05
YIL020C,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR037W,0.211595127,0.093628758,1.35E-05,2.12E-05
YEL038W,0.296297942,0.050522294,9.98E-06,1.51E-05
YMR009W,0.354212497,0.143244221,5.08E-07,7.49E-07
YOL066C,0.343277493,0.04850195,9.58E-09,1.44E-08
YBR153W,0.310040533,0.102051249,9.98E-06,1.51E-05
YCL009C,0.329564565,0.062294725,9.98E-06,1.51E-05
YMR108W,0.493175019,0.081939022,6.61E-06,1.46E-05
YNL256W,0.453320348,0.086824524,1.68E-07,2.80E-07
YER152C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGL202W,0.298198526,0.055246038,8.55E-06,1.94E-05
YJL060W,0.144032966,0.056057011,7.19E-07,9.05E-07
YHR063C,0.276668075,0.058690057,3.17E-07,5.41E-07
YDR035W,0.326516719,0.044972966,9.98E-06,1.51E-05
YBR249C,0.414850838,0.049902497,1.17E-06,2.78E-06
YDR204W,0.31240877,0.082683341,1.66E-07,2.28E-07
YGL119W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR255C,0.177782707,0.097081857,1.51E-07,2.36E-07
YLR201C,0.313168814,0.074171069,3.51E-07,4.16E-07
YML110C,0.236826259,0.085979784,1.08E-07,2.06E-07
YOL096C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR125C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGL009C,0.460220059,0.030035145,9.98E-06,1.51E-05
YNL104C,0.276293481,0.043502943,1.17E-05,1.82E-05
YOR108W,0.310040533,0.102051249,9.98E-06,1.51E-05
YHR208W,0.384186181,0.041844383,1.18E-05,1.67E-05
YJR148W,0.188538815,0.037952302,5.39E-06,5.90E-06
YHR137W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR234W,0.254861081,0.065934017,3.33E-06,4.58E-06
YPR001W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOL064C,0.318396719,0.056854722,1.04E-07,1.98E-07
YGL248W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR360C,0.380410006,0.01758756,1.08E-07,1.01E-07
YDR487C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR127W,0.296597754,0.057536339,9.98E-06,1.51E-05
YBR265W,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL252C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR376W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR538W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR539W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR231C,0.139091095,0.053063533,9.98E-06,1.51E-05
YKR009C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR025C,0.1424433,0.037067269,9.98E-06,1.51E-05
YER175C,0.310040533,0.102051249,9.98E-06,1.51E-05
YCL018W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR087C,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR044C,0.261797608,0.060337311,9.98E-06,1.51E-05
YLR134W,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR176W,0.364280634,0.070598733,2.14E-07,3.86E-07
YDL080C,0.310040533,0.102051249,9.98E-06,1.51E-05
