Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
Q0045,P00401,2.2824475234027974,P00401,,2.2824475234027974,2.2824475234027974,0.30368592199945244
Q0085,P00854,2.9068053383185775,,,2.9068053383185775,2.9068053383185775,0.23845669038192002
Q0140,P02381,3.1498081109375695,P02381,10.75564,3.1498081109375695,10.75564,0.06444499635167646
Q0250,P00410,2.010525528298477,P00410,10.05115,2.010525528298477,10.05115,0.06896197754087297
R0020C,P03871,5.405240816753379,P03871,6.395284,5.405240816753379,6.395284,0.10838411250539386
R0040C,P03872,1.4506180538082525,P03872,3.262562,1.4506180538082525,3.262562,0.21245486846225306
YAL001C,P34111,2.610199795421964,P34111,6.927215,2.610199795421964,6.927215,0.10006145046168557
YAL003W,P32471,1.5206035730470786,P32471,9.667319,1.5206035730470786,9.667319,0.07170004223093758
YAL005C,P10591,3.4782987183998078,P10591,20.18394,3.4782987183998078,20.18394,0.034341520067932486
YAL007C,P39704,2.4311851177797896,P39704,10.54553,2.4311851177797896,10.54553,0.06572900371626132
YAL012W,P31373,1.7639983299876842,P31373,12.29129,1.7639983299876842,12.29129,0.056393363150649384
YAL013W,P31385,3.49197812103861,P31385,8.956935,3.49197812103861,8.956935,0.07738664850866343
YAL014C,P31377,1.8512619908287968,P31377,4.951904,1.8512619908287968,4.951904,0.1399758922143776
YAL015C,P31378,15.626999047531198,P31378,7.782863,15.626999047531198,7.782863,0.08906069406077755
YAL016W,P31383,2.495466443122253,P31383,10.58206,2.495466443122253,10.58206,0.06550210266809536
YAL017W,P31374,5.995356992741963,P31374,12.44671,5.995356992741963,12.44671,0.05568918859360789
YAL019W,P31380,1.3628555781437717,P31380,7.341164,1.3628555781437717,7.341164,0.09441924748717578
YAL021C,P31384,2.514083169679446,P31384,10.63797,2.514083169679446,10.63797,0.06515784313736035
YAL023C,P31382,2.6732346641967712,P31382,8.389096,2.6732346641967712,8.389096,0.08262477632392635
YAL025C,P10962,0.8664700662859877,P10962,5.763589,0.8664700662859877,5.763589,0.12026311740131805
YAL026C,P39524,1.793612114855298,P39524,9.106969,1.793612114855298,9.106969,0.07611173163760032
YAL029C,P32492,2.4634404762476967,P32492,9.16853,2.4634404762476967,9.16853,0.07560068850294925
YAL030W,P31109,2.2297385597277106,P31109,8.330729,2.2297385597277106,8.330729,0.08320366447641561
YAL032C,P28004,,P28004,4.836556,4.836556,4.836556,0.1433142055131679
YAL035W,P39730,1.5359947959406168,P39730,9.503272,1.5359947959406168,9.503272,0.07293773981844834
YAL036C,P39729,1.054592214238592,P39729,6.282206,1.054592214238592,6.282206,0.11033499706312484
YAL038W,P00549,2.963114699602362,P00549,11.65833,2.963114699602362,11.65833,0.05945510039259013
YAL039C,P06182,3.0123783822324164,P06182,12.12004,3.0123783822324164,12.12004,0.057190172685894214
YAL041W,P11433,2.2926322389808913,P11433,7.394828,2.2926322389808913,7.394828,0.09373405041468784
YAL042W,P39727,1.9434925543350345,P39727,7.492905,1.9434925543350345,7.492905,0.09250713582514995
YAL043C,Q01329,2.3188161553404436,Q01329,9.29108,2.3188161553404436,9.29108,0.07460351009354621
YAL044C,P39726,3.597563548861309,P39726,7.050414,3.597563548861309,7.050414,0.09831297574297698
YAL044W-A,Q3E793,1.5347366378833378,Q3E793,3.609295,1.5347366378833378,3.609295,0.19204503388056263
YAL046C,P39724,2.0488064512885797,P39724,4.666464,2.0488064512885797,4.666464,0.148537989484103
YAL047C,P39723,1.7450195725816777,P39723,5.282385,1.7450195725816777,5.282385,0.13121860306659688
