protein,region,n_species,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
Arthrobotrys_oligospora_Seq_4636,Y_lipolytica,1,1,0,0,0
Arthrobotrys_oligospora_Seq_8174,Y_lipolytica,1,1,0,0,0
Arxula_adeninivorans_Seq_4391,Y_lipolytica,1,1,0,0,0
Arxula_adeninivorans_Seq_5367,K_lactis_and_K_marxianus,2,0,1,1,0
Arxula_adeninivorans_Seq_862,Y_lipolytica,1,1,0,0,0
Ascoidea_asiatica_Seq_6967,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Ashbya_aceri_Seq_3604,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Aspergillus_nidulans_Seq_1543,Y_lipolytica,1,1,0,0,0
Aspergillus_nidulans_Seq_4495,Y_lipolytica,1,1,0,0,0
Aspergillus_nidulans_Seq_6682,Y_lipolytica,1,1,0,0,0
Aspergillus_nidulans_Seq_8936,Y_lipolytica,1,1,0,0,0
Babjeviella_inositovora_Seq_4035,Y_lipolytica,1,1,0,0,0
Botrytis_cinerea_Seq_4447,Y_lipolytica,1,1,0,0,0
Coccidioides_immitis_Seq_4755,Y_lipolytica,1,1,0,0,0
Cyberlindnera_fabianii_JCM3601_Seq_1970,Y_lipolytica,1,1,0,0,0
Fusarium_graminearum_Seq_316,Y_lipolytica,1,1,0,0,0
Fusarium_graminearum_Seq_4803,Y_lipolytica,1,1,0,0,0
Fusarium_graminearum_Seq_9299,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_2298,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_4262,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_4731,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_5627,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_6125,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_6512,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_6513,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_6760,Y_lipolytica,1,1,0,0,0
Geotrichum_candidum_Seq_849,Y_lipolytica,1,1,0,0,0
Kluyveromyces_lactis_Seq_1105,K_lactis,1,0,1,0,0
Kluyveromyces_lactis_Seq_1820,K_lactis,1,0,1,0,0
Kluyveromyces_lactis_Seq_2294,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Komagataella_pastoris_Seq_4479,Y_lipolytica,1,1,0,0,0
Lachancea_dasiensis_Seq_2651,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Lachancea_mirantina_Seq_826,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Lachancea_quebecensis_Seq_3384,K_lactis_and_K_marxianus,2,0,1,1,0
Lipomyces_starkeyi_Seq_7051,Y_lipolytica,1,1,0,0,0
Lipomyces_starkeyi_Seq_8757,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Lodderomyces_elongisporus_Seq_5442,Y_lipolytica,1,1,0,0,0
Metschnikowia_arizonensis_Seq_1293,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_bicuspidata_Seq_3769,K_lactis_and_K_marxianus,2,0,1,1,0
Metschnikowia_borealis_Seq_144,Y_lipolytica,1,1,0,0,0
Metschnikowia_borealis_Seq_5873,Y_lipolytica,1,1,0,0,0
Metschnikowia_bowlesiae_Seq_2683,Y_lipolytica,1,1,0,0,0
Metschnikowia_continentalis_Seq_2992,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_dekortum_Seq_167,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_dekortum_Seq_4089,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_hamakuensis_Seq_2035,Y_lipolytica,1,1,0,0,0
Metschnikowia_hibisci_Seq_207,Y_lipolytica,1,1,0,0,0
Metschnikowia_hibisci_Seq_5078,Y_lipolytica,1,1,0,0,0
Metschnikowia_kamakouana_Seq_3870,Y_lipolytica,1,1,0,0,0
Metschnikowia_kipukae_Seq_1387,Y_lipolytica,1,1,0,0,0
Metschnikowia_lockheadii_Seq_2967,Y_lipolytica,1,1,0,0,0
Metschnikowia_lockheadii_Seq_4766,Y_lipolytica,1,1,0,0,0
Metschnikowia_matae_Seq_1498,Y_lipolytica,1,1,0,0,0
Metschnikowia_matae_Seq_2628,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_matae_Seq_2907,Y_lipolytica,1,1,0,0,0
Metschnikowia_matae_maris_Seq_1638,Y_lipolytica,1,1,0,0,0
Metschnikowia_matae_maris_Seq_4823,Y_lipolytica,1,1,0,0,0
Metschnikowia_mauinuiana_Seq_2942,Y_lipolytica,1,1,0,0,0
Metschnikowia_mauinuiana_Seq_5548,Y_lipolytica,1,1,0,0,0
Metschnikowia_proteae_Seq_1593,Y_lipolytica,1,1,0,0,0
Metschnikowia_proteae_Seq_4309,Y_lipolytica,1,1,0,0,0
Metschnikowia_proteae_Seq_895,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_santaceciliae_Seq_1206,Y_lipolytica,1,1,0,0,0
Metschnikowia_santaceciliae_Seq_2763,K_lactis_and_K_marxianus,2,0,1,1,0
Metschnikowia_santaceciliae_Seq_532,Y_lipolytica,1,1,0,0,0
Metschnikowia_santaceciliae_Seq_5740,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Metschnikowia_shivogae_Seq_453,Y_lipolytica,1,1,0,0,0
Metschnikowia_similis_Seq_1499,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Millerozyma_acaciae_Seq_4071,Y_lipolytica,1,1,0,0,0
Millerozyma_acaciae_Seq_4100,Y_lipolytica,1,1,0,0,0
Nadsonia_fulvescens_var_elongata_Seq_1278,Y_lipolytica,1,1,0,0,0
Nadsonia_fulvescens_var_elongata_Seq_2140,Y_lipolytica,1,1,0,0,0
Nadsonia_fulvescens_var_elongata_Seq_2787,Y_lipolytica,1,1,0,0,0
Nadsonia_fulvescens_var_elongata_Seq_5575,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Nakazawaea_peltata_Seq_571,Y_lipolytica_and_K_lactis,2,1,1,0,0
Pichia_membranifaciens_Seq_3416,Y_lipolytica,1,1,0,0,0
Q0045,K_marxianus_and_S_cerevisiae,2,0,0,1,1
Q0080,S_cerevisiae,1,0,0,0,1
Q0085,S_cerevisiae,1,0,0,0,1
Q0105,S_cerevisiae,1,0,0,0,1
Q0115,K_marxianus,1,0,0,1,0
Q0130,S_cerevisiae,1,0,0,0,1
Q0250,K_marxianus_and_S_cerevisiae,2,0,0,1,1
Q0275,S_cerevisiae,1,0,0,0,1
Saccharomyces_mikatae_Seq_3460,K_lactis,1,0,1,0,0
Schizosaccharomyces_pombe_Seq_4195,Y_lipolytica,1,1,0,0,0
Spathaspora_arborariae_Seq_5108,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
Stagonospora_nodorum_Seq_11788,Y_lipolytica,1,1,0,0,0
Stagonospora_nodorum_Seq_3573,Y_lipolytica,1,1,0,0,0
YAL012W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAL022C,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YAL023C,S_cerevisiae,1,0,0,0,1
YAL026C,S_cerevisiae,1,0,0,0,1
YAL035W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAL038W,S_cerevisiae,1,0,0,0,1
YAL039C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAL044C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAL054C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAL060W,S_cerevisiae,1,0,0,0,1
YAL061W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YAL062W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAR015W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAR035W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YAR071W,S_cerevisiae,1,0,0,0,1
YBL011W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL013W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL015W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL030C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL033C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL039C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL042C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL045C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBL064C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBL068W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL076C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL080C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL089W,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YBL091C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBL098W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBL099W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR001C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBR002C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR003W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
