sample_index,PLS1,PLS2,condition
0,-4.793739594902966,0.288243800623708,C-lim
1,-5.208467827435181,1.3388382030011319,C-lim
2,-4.043290915717077,-3.064387253782157,C-lim
3,-3.7515577010934087,-4.673771486440909,C-lim
4,-7.795970251623435,11.94326870089679,C-lim
5,-5.358588030180115,1.0085181086652244,C-lim
6,-4.080637015853356,-1.2212160807384578,C-lim
7,-4.020214255225718,-2.8483654228547697,C-lim
8,-4.182308903470446,-2.51321824671546,C-lim
9,-5.232133710192944,2.3548822272342034,C-lim
10,-3.7170160803861925,-4.733608451954162,C-lim
11,-3.6634335423536624,-4.6058494071426335,C-lim
12,-5.06286928318365,2.1705312724135393,C-lim
13,-6.395915751357648,6.238978380357545,C-lim
14,-3.491920831546891,-6.70848768480987,C-lim
15,-4.020540022496699,-2.7861752689105246,C-lim
16,-4.893710086512322,-0.45712791448786916,C-lim
17,-5.431178002655685,3.294307658477934,C-lim
18,-7.293246087387611,10.59430987318262,C-lim
19,-5.167911589491904,2.1670974384819663,C-lim
20,-5.130394154776913,1.4029922910154438,C-lim
21,-4.4729063369290545,1.9360165119983639,C-lim
22,-5.103522742202271,2.14585476737725,C-lim
23,-3.46502780037632,-6.743626798018723,C-lim
24,-5.575988215374341,3.070382244981801,C-lim
25,-5.7091557137893,4.66803497003699,C-lim
26,-4.863699686385048,0.4376230318971537,C-lim
27,-3.849879871101054,-2.8653660087241883,C-lim
28,-3.8000052320017934,-4.463854816565963,C-lim
29,-4.866373952521055,1.6001793133592654,C-lim
30,-4.0139848116665675,-5.257668100854283,C-lim
31,-5.6770148646355505,3.3533257178404505,C-lim
32,-2.7069904421968536,-8.855073167833504,C-lim
33,-5.451870491661642,1.870806835955064,C-lim
34,-4.768367037210849,1.1464719599363267,C-lim
35,-5.664123804573616,3.0963938670160593,C-lim
36,-7.182730324222165,9.104121884394244,C-lim
37,-3.6463780717695076,-4.377586065361542,C-lim
38,-4.405682945179529,-2.712646615193285,C-lim
39,-4.968277083742663,0.8769787903099151,C-lim
40,-5.459701359120381,4.604247332119028,C-lim
41,-4.432959017617646,-2.0756369210281336,C-lim
42,-5.852434847650442,4.364515030553244,C-lim
43,-6.102471585946249,4.718203223895225,C-lim
44,-3.3808204997524998,-6.500653787923478,C-lim
45,-2.2347545820315897,-10.214842580631288,C-lim
46,-5.668660169614173,3.4055033636556105,C-lim
47,-3.4257603478320684,-6.7232629089974925,C-lim
48,-3.9647355724223328,-1.6972457929335614,C-lim
49,-2.6908537537965174,-11.253503469807018,C-lim
50,-3.051397607788494,-9.05808702155728,C-lim
51,-5.550611357038657,3.4117697546977146,C-lim
52,-1.7966845566906458,-12.241666418794187,C-lim
53,-4.621657905959397,-0.5155367324273037,C-lim
54,-4.522765223831685,-0.36613317541447477,C-lim
55,-5.737044323635066,3.957147690266491,C-lim
56,-6.230197338658131,5.646174754916308,C-lim
57,-4.12939787103603,-3.96588719978732,C-lim
58,-4.759590908277708,1.424604068606436,C-lim
59,-4.6773431349137065,-0.5561886484711149,C-lim
60,-4.208249517217838,-1.5435544026048942,C-lim
61,-6.27290993025842,4.552431493421417,C-lim
62,-4.431909272664423,-1.5114142277518032,C-lim
63,-5.642736135143084,3.7119038414860954,C-lim
64,-4.1273363482151275,-3.4376566900950563,C-lim
65,-3.5228217029227356,-7.411809588095619,C-lim
66,-2.9334956546949345,-8.33639818084181,C-lim
67,-5.802032733103387,3.2068394155555864,C-lim
68,-6.102588049638133,4.834802737046796,C-lim
69,-4.219570246903795,-3.2136856847235107,C-lim
70,-3.289711458271316,-6.361319351560562,C-lim
71,-5.829212847025001,4.874097383080888,C-lim
72,-2.9092077745983618,-8.457092879264563,C-lim
73,-3.8855200482304197,-5.03622145599572,C-lim
74,-3.028223775236482,-7.125239608458719,C-lim
75,-5.481715861546249,4.695045041296617,C-lim
76,-4.904897541045447,1.0047930059001249,C-lim
77,-4.879765593311024,-0.10447526455649385,C-lim
