generation,kcat_index,mu_log10_kcat
0,kcat_0,3.828490981377263
1,kcat_0,3.809655083281388
2,kcat_0,3.7958406647302514
3,kcat_0,3.8019380497885327
4,kcat_0,3.7736948604514584
5,kcat_0,3.788741450618705
6,kcat_0,3.7670374568230267
7,kcat_0,3.8149780214495395
8,kcat_0,3.8398568442889762
9,kcat_0,3.8393731544517897
10,kcat_0,3.8396196554016746
11,kcat_0,3.8401838765619525
12,kcat_0,3.842761934889894
13,kcat_0,3.83287164603954
14,kcat_0,3.8373883529503137
15,kcat_0,3.83440529675441
16,kcat_0,3.8415468058939632
17,kcat_0,3.832873992159454
18,kcat_0,3.8350822789291477
19,kcat_0,3.8459765985145653
20,kcat_0,3.8508182066166503
21,kcat_0,3.8640560828291335
22,kcat_0,3.8754934561414647
23,kcat_0,3.8779218969547795
24,kcat_0,3.8802012480000063
25,kcat_0,3.873513507350885
26,kcat_0,3.87721388011524
27,kcat_0,3.8808469382466213
28,kcat_0,3.874342817118132
29,kcat_0,3.8811970943235337
30,kcat_0,3.8846369447887477
31,kcat_0,3.890151732446569
32,kcat_0,3.8783984040630006
33,kcat_0,3.880853789265916
34,kcat_0,3.8763582954061193
35,kcat_0,3.877297762530499
36,kcat_0,3.8815625173834927
37,kcat_0,3.88574359745302
38,kcat_0,3.8871733606175423
39,kcat_0,3.8837301485879023
40,kcat_0,3.875349712720908
41,kcat_0,3.878094616405004
42,kcat_0,3.8771421174171903
43,kcat_0,3.8740954589256353
44,kcat_0,3.8784957847250703
45,kcat_0,3.874963979958898
46,kcat_0,3.8747159598445062
47,kcat_0,3.8683694999094973
48,kcat_0,3.864951282893878
49,kcat_0,3.871509958965001
0,kcat_1,4.6961050470573955
1,kcat_1,4.710846913472555
2,kcat_1,4.748366100535359
3,kcat_1,4.727714328432123
4,kcat_1,4.727635624426611
5,kcat_1,4.74907598487092
6,kcat_1,4.735422829286891
7,kcat_1,4.704894480940343
8,kcat_1,4.696256974938222
9,kcat_1,4.694866230870535
10,kcat_1,4.701700261983257
11,kcat_1,4.702210548808728
12,kcat_1,4.699416610055574
13,kcat_1,4.704440347216211
14,kcat_1,4.705691034250424
15,kcat_1,4.705320178627349
16,kcat_1,4.708188866748512
17,kcat_1,4.6996621550965525
18,kcat_1,4.700262267365952
19,kcat_1,4.700496725752852
20,kcat_1,4.69841561050985
21,kcat_1,4.692950097663167
22,kcat_1,4.698326318296217
23,kcat_1,4.699653472458479
24,kcat_1,4.697370215455779
25,kcat_1,4.695174958105882
26,kcat_1,4.684774496659329
27,kcat_1,4.677911003177968
28,kcat_1,4.677778821430027
29,kcat_1,4.67561423499718
30,kcat_1,4.674744602838803
31,kcat_1,4.679475027744815
32,kcat_1,4.68169366365066
33,kcat_1,4.681498429865536
34,kcat_1,4.677734385194485
35,kcat_1,4.68228516579397
36,kcat_1,4.690016148219879
37,kcat_1,4.690319271798823
38,kcat_1,4.683460143212947
39,kcat_1,4.683024024045349
40,kcat_1,4.678519023785313
41,kcat_1,4.678296142229234
42,kcat_1,4.6809836439327395
43,kcat_1,4.682344362042354
44,kcat_1,4.679932507848723
45,kcat_1,4.678067217929594
46,kcat_1,4.679932430973022
47,kcat_1,4.678174512850888
48,kcat_1,4.674429984040179
49,kcat_1,4.676644579852276
0,kcat_2,3.4346133843699063
1,kcat_2,3.4184342052196173
2,kcat_2,3.4124864352501953
3,kcat_2,3.423928356394235
4,kcat_2,3.429357300311819
5,kcat_2,3.45348714648587
6,kcat_2,3.4454457088630916
7,kcat_2,3.4688089228679533
8,kcat_2,3.472511395179053
9,kcat_2,3.4676921740191675
10,kcat_2,3.4647524417827493
11,kcat_2,3.4683321871483823
12,kcat_2,3.466083865502479
13,kcat_2,3.470720769669319
14,kcat_2,3.489326791303064
15,kcat_2,3.491632499137285
16,kcat_2,3.48317153754599
17,kcat_2,3.489163731631263
18,kcat_2,3.492768756979808
19,kcat_2,3.491944290530204
20,kcat_2,3.4991558964761595
21,kcat_2,3.4945825054753463
22,kcat_2,3.4907669656070266
23,kcat_2,3.488766177839983
24,kcat_2,3.4803414896145966
25,kcat_2,3.4812158338651793
26,kcat_2,3.4813915626479517
27,kcat_2,3.4865218638708937
28,kcat_2,3.4948728018347848
29,kcat_2,3.4916491001597407
30,kcat_2,3.4867938792857753
31,kcat_2,3.4829824108910987
32,kcat_2,3.4857163384048744
