Uniprot Accession,Description,Gene,Molecular weight (Da),Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,155045.008,4.6115641465863894e-05,0.00011867521719886654,7.481698475580715e-05,3.6183041765523984e-05,4.056886500982992e-05,5.5080780156430446e-05,4.721209727694038e-05,4.53416726580452e-05,7.933180280141621e-05,6.449740065155789e-05,5.7725173583144326e-05,4.97919933030027e-05,2.883033809124638e-05,3.166822371991493e-05,3.734399497725202e-05,6.643232267110464e-05,5.546776456033979e-05,6.030506960920664e-05,5.649972297076471e-05,3.747298977855513e-05,4.592214926390922e-05,7.481698475580715e-05
P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,150520.2758,6.57054336861639e-05,0.0001474884355746045,8.636710191305671e-05,4.418009444014054e-05,5.3148985792650275e-05,6.643623224081283e-05,6.225074960964162e-05,6.165282351947432e-05,8.703146423546484e-05,7.307985546489412e-05,6.411096411238439e-05,5.7400904656062294e-05,3.946312195104282e-05,3.700498135813275e-05,5.401265681178083e-05,8.171656565619978e-05,6.710059456322097e-05,7.374421778730225e-05,6.909368153044536e-05,4.683754372977305e-05,6.404452788014358e-05,8.769582655787296e-05
P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,93420.9457,0.00012631000373185047,0.000276169330193368,0.0002911552628395198,0.00037893001119555146,0.0003232679756527021,0.0002280002609735945,0.00017876076799338162,0.00027188763515161035,0.00026118339754721624,0.000336113060777975,0.00027295805891204973,0.000229070684734034,1.5521144526371457e-05,1.252395799714111e-05,4.6777518331202256e-05,8.038882440899976e-05,7.717755312768151e-05,0.00011132407108569875,0.00027402848267248916,0.00021408475208788217,0.0003243383994131415,0.0001455776314197599
P15254,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,141295.8984,4.076551453527542e-05,1.3659278307826664e-05,3.8854631041434396e-05,2.385065694164552e-05,3.439590288913864e-05,3.255579285803246e-05,3.4325129426403786e-05,4.494114883663176e-05,3.7934576025881304e-05,2.873402587035039e-05,2.434607118078949e-05,2.0241210342168005e-05,1.026215209655371e-05,1.2173035590394745e-05,2.186899998506963e-05,3.12818705288051e-05,2.8380158556676126e-05,2.8592478944880683e-05,2.930021357222921e-05,2.6044634286425967e-05,3.1777284767949073e-05,3.991623298245719e-05
P09831,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,163176.3153,4.7494637844662745e-05,1.0050478201967344e-05,1.0847162449684267e-05,2.261357595442652e-05,2.1265341073674807e-05,3.2847904367405466e-05,3.6586191991307955e-05,2.8067798881103923e-05,3.854726090876499e-05,3.25414873490528e-05,2.9416033761855634e-05,2.2919992972779185e-05,3.8118277083071263e-06,3.039656822058416e-06,1.3850049229540364e-05,4.9455706762119796e-05,4.522715190885304e-05,4.142758088128003e-05,3.450255626650984e-05,2.322640999113185e-05,2.5800312945294214e-05,6.434757385405921e-05
P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,99587.94042,9.659804148402733e-05,0.00019580684084600128,0.00011045514099005203,4.0567160872710017e-05,7.510949587323538e-05,6.968715258826918e-05,6.757846353300455e-05,0.00026207992544003257,9.770259289392782e-05,8.756080267575032e-05,7.320163434704357e-05,7.962811527737387e-05,8.766121644028674e-05,9.780300665846425e-05,0.00010443031511786738,0.00011547582921687255,0.00015664547267680104,0.00016969926206653448,8.143556303902928e-05,5.422343284966191e-05,7.872439139654617e-05,0.00015664547267680104
P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,96048.64958,8.058416264929647e-05,9.089143926722975e-05,9.359840080325261e-05,7.485789786155577e-05,6.652878544302382e-05,0.00012181326912102955,8.610219962657387e-05,5.4659800246615826e-05,0.00017178794363222115,0.000127018964382612,0.00013014238153956148,0.00013326579869651095,0.00011660757385944711,0.00011140187859786465,8.662276915273212e-05,0.00014992402353357484,0.00014992402353357484,0.00013951263301040993,9.922055168576168e-05,0.00010515504428396569,6.725758277964538e-05,0.0003321233576889609
P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,43238.30279,0.004186103253846057,0.007377717889375093,0.006128825205907209,0.0024746577246493257,0.003168486993242595,0.002890955285805287,0.003168486993242595,0.0030991040663832683,0.003006593497237499,0.002359019513217114,0.0018710262609731817,0.0016952561795962205,0.0014454776429026436,0.0014686052851890859,0.0035616569121121144,0.004162975611559614,0.0031916146355290376,0.003607912196684998,0.0031916146355290376,0.0023358918709306723,0.0032609975623883645,0.003862316261835864
P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,84602.80905,0.0008569455413371999,2.8367852402886612e-05,2.8013254247850533e-05,0.00028958849327946753,0.0003274122964833164,0.0003983319274905329,0.0004787075092987116,0.0003096823887315123,0.0004515216507459452,0.00021985085612237127,0.00013829328046407227,7.044683346716842e-05,5.614470788071309e-05,5.9217891891025816e-05,0.0004999833986008767,0.0005378072018047253,0.0004278817737435398,0.0005448991649054471,0.00044206569994498316,0.00019384699141972522,0.00031913833953247446,0.0006453686421656706
P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,57274.67483,0.0003771300328480626,0.0010947246786839591,0.0009515549439916392,0.00032475086161916497,0.000438239065948443,0.0003841139223452489,0.000438239065948443,0.00038062197759665574,0.00043125517645125667,0.0003928437842167318,0.00029506933125612297,0.0002811015522617503,0.0004399850383227396,0.0004277632317026635,0.00038062197759665574,0.0010859948168124762,0.0004452229554456293,0.000438239065948443,0.00045220684494281567,0.00026014988377019124,0.00044173101069703614,0.00041379545270829084
